date,sales,tot_sales,weekday,month
2013-03-14,93,529,3,3
2013-03-15,93,612,4,3
2013-03-16,91,606,5,3
2013-03-17,80,678,6,3
2013-03-18,62,437,0,3
2013-03-19,71,525,1,3
2013-03-20,70,505,2,3
2013-03-21,86,595,3,3
2013-03-22,94,649,4,3
2013-03-23,89,674,5,3
2013-03-24,94,685,6,3
2013-03-25,59,498,0,3
2013-03-26,86,529,1,3
2013-03-27,86,538,2,3
2013-03-28,95,559,3,3
2013-03-29,98,656,4,3
2013-03-30,110,654,5,3
2013-03-31,90,671,6,3
2013-04-01,74,541,0,4
2013-04-02,91,606,1,4
2013-04-03,86,591,2,4
2013-04-04,88,646,3,4
2013-04-05,107,739,4,4
2013-04-06,120,697,5,4
2013-04-07,128,789,6,4
2013-04-08,76,551,0,4
2013-04-09,84,589,1,4
2013-04-10,97,625,2,4
2013-04-11,105,673,3,4
2013-04-12,118,733,4,4
2013-04-13,110,725,5,4
2013-04-14,124,838,6,4
2013-04-15,76,554,0,4
2013-04-16,98,651,1,4
2013-04-17,92,592,2,4
2013-04-18,87,669,3,4
2013-04-19,105,741,4,4
2013-04-20,98,758,5,4
2013-04-21,107,768,6,4
2013-04-22,79,560,0,4
2013-04-23,99,607,1,4
2013-04-24,106,635,2,4
2013-04-25,106,701,3,4
2013-04-26,95,738,4,4
2013-04-27,113,751,5,4
2013-04-28,104,779,6,4
2013-04-29,71,489,0,4
2013-04-30,73,613,1,4
2013-05-01,97,701,2,5
2013-05-02,119,713,3,5
2013-05-03,112,784,4,5
2013-05-04,138,854,5,5
2013-05-05,136,876,6,5
2013-05-06,91,534,0,5
2013-05-07,114,636,1,5
2013-05-08,94,654,2,5
2013-05-09,110,728,3,5
2013-05-10,126,726,4,5
2013-05-11,114,814,5,5
2013-05-12,129,892,6,5
2013-05-13,93,589,0,5
2013-05-14,100,683,1,5
2013-05-15,90,666,2,5
2013-05-16,92,734,3,5
2013-05-17,95,737,4,5
2013-05-18,141,817,5,5
2013-05-19,126,837,6,5
2013-05-20,88,551,0,5
2013-05-21,111,648,1,5
2013-05-22,97,682,2,5
2013-05-23,103,726,3,5
2013-05-24,93,740,4,5
2013-05-25,114,791,5,5
2013-05-26,156,878,6,5
2013-05-27,79,567,0,5
2013-05-28,95,671,1,5
2013-05-29,91,655,2,5
2013-05-30,110,718,3,5
2013-05-31,125,748,4,5
2013-06-01,133,857,5,6
2013-06-02,142,940,6,6
2013-06-03,91,632,0,6
2013-06-04,117,699,1,6
2013-06-05,110,718,2,6
2013-06-06,112,773,3,6
2013-06-07,134,794,4,6
2013-06-08,128,832,5,6
2013-06-09,115,885,6,6
2013-06-10,96,620,0,6
2013-06-11,131,737,1,6
2013-06-12,123,689,2,6
2013-06-13,112,747,3,6
2013-06-14,104,855,4,6
2013-06-15,125,874,5,6
2013-06-16,145,917,6,6
2013-06-17,90,595,0,6
2013-06-18,96,714,1,6
2013-06-19,109,695,2,6
2013-06-20,110,775,3,6
2013-06-21,84,815,4,6
2013-06-22,106,864,5,6
2013-06-23,139,883,6,6
2013-06-24,84,667,0,6
2013-06-25,124,681,1,6
2013-06-26,95,729,2,6
2013-06-27,115,838,3,6
2013-06-28,130,779,4,6
2013-06-29,125,861,5,6
2013-06-30,133,907,6,6
2013-07-01,92,636,0,7
2013-07-02,124,762,1,7
2013-07-03,136,754,2,7
2013-07-04,135,794,3,7
2013-07-05,129,840,4,7
2013-07-06,138,881,5,7
2013-07-07,144,949,6,7
2013-07-08,84,683,0,7
2013-07-09,113,830,1,7
2013-07-10,94,754,2,7
2013-07-11,128,831,3,7
2013-07-12,137,887,4,7
2013-07-13,127,896,5,7
2013-07-14,160,940,6,7
2013-07-15,89,650,0,7
2013-07-16,102,778,1,7
2013-07-17,104,779,2,7
2013-07-18,123,840,3,7
2013-07-19,127,866,4,7
2013-07-20,107,908,5,7
2013-07-21,137,983,6,7
2013-07-22,94,636,0,7
2013-07-23,110,760,1,7
2013-07-24,104,755,2,7
2013-07-25,126,786,3,7
2013-07-26,132,849,4,7
2013-07-27,139,864,5,7
2013-07-28,141,937,6,7
2013-07-29,87,658,0,7
2013-07-30,119,764,1,7
2013-07-31,111,748,2,7
2013-08-01,98,724,3,8
2013-08-02,113,739,4,8
2013-08-03,111,819,5,8
2013-08-04,145,866,6,8
2013-08-05,86,585,0,8
2013-08-06,108,704,1,8
2013-08-07,105,694,2,8
2013-08-08,113,739,3,8
2013-08-09,116,722,4,8
2013-08-10,122,797,5,8
2013-08-11,148,869,6,8
2013-08-12,83,598,0,8
2013-08-13,100,652,1,8
2013-08-14,86,660,2,8
2013-08-15,108,723,3,8
2013-08-16,107,788,4,8
2013-08-17,106,847,5,8
2013-08-18,125,890,6,8
2013-08-19,79,598,0,8
2013-08-20,95,672,1,8
2013-08-21,81,652,2,8
2013-08-22,94,711,3,8
2013-08-23,118,801,4,8
2013-08-24,127,832,5,8
2013-08-25,129,847,6,8
2013-08-26,99,536,0,8
2013-08-27,129,654,1,8
2013-08-28,82,667,2,8
2013-08-29,96,716,3,8
2013-08-30,116,770,4,8
2013-08-31,143,777,5,8
2013-09-01,116,832,6,9
2013-09-02,76,554,0,9
2013-09-03,83,587,1,9
2013-09-04,82,611,2,9
2013-09-05,90,696,3,9
2013-09-06,99,706,4,9
2013-09-07,115,675,5,9
2013-09-08,119,794,6,9
2013-09-09,76,556,0,9
2013-09-10,85,608,1,9
2013-09-11,97,612,2,9
2013-09-12,101,674,3,9
2013-09-13,88,684,4,9
2013-09-14,108,755,5,9
2013-09-15,131,788,6,9
2013-09-16,73,563,0,9
2013-09-17,92,675,1,9
2013-09-18,95,678,2,9
2013-09-19,118,673,3,9
2013-09-20,116,726,4,9
2013-09-21,101,827,5,9
2013-09-22,126,834,6,9
2013-09-23,86,527,0,9
2013-09-24,86,608,1,9
2013-09-25,101,593,2,9
2013-09-26,102,652,3,9
2013-09-27,92,727,4,9
2013-09-28,117,764,5,9
2013-09-29,116,733,6,9
2013-09-30,86,551,0,9
2013-10-01,97,595,1,10
2013-10-02,86,587,2,10
2013-10-03,85,630,3,10
2013-10-04,102,621,4,10
2013-10-05,108,659,5,10
2013-10-06,109,732,6,10
2013-10-07,70,566,0,10
2013-10-08,71,607,1,10
2013-10-09,78,540,2,10
2013-10-10,94,687,3,10
2013-10-11,90,665,4,10
2013-10-12,120,713,5,10
2013-10-13,109,711,6,10
2013-10-14,72,509,0,10
2013-10-15,74,581,1,10
2013-10-16,101,535,2,10
2013-10-17,97,622,3,10
2013-10-18,96,667,4,10
2013-10-19,108,731,5,10
2013-10-20,108,718,6,10
2013-10-21,73,510,0,10
2013-10-22,90,588,1,10
2013-10-23,87,549,2,10
2013-10-24,104,601,3,10
2013-10-25,98,628,4,10
2013-10-26,91,706,5,10
2013-10-27,94,699,6,10
2013-10-28,58,465,0,10
2013-10-29,78,571,1,10
2013-10-30,78,578,2,10
2013-10-31,81,597,3,10
2013-11-01,113,763,4,11
2013-11-02,127,763,5,11
2013-11-03,127,852,6,11
2013-11-04,75,495,0,11
2013-11-05,81,582,1,11
2013-11-06,81,648,2,11
2013-11-07,77,653,3,11
2013-11-08,103,720,4,11
2013-11-09,110,689,5,11
2013-11-10,96,793,6,11
2013-11-11,79,509,0,11
2013-11-12,108,657,1,11
2013-11-13,85,592,2,11
2013-11-14,85,638,3,11
2013-11-15,96,675,4,11
2013-11-16,99,751,5,11
2013-11-17,131,836,6,11
2013-11-18,80,552,0,11
2013-11-19,104,602,1,11
2013-11-20,80,629,2,11
2013-11-21,98,686,3,11
2013-11-22,119,782,4,11
2013-11-23,91,724,5,11
2013-11-24,114,789,6,11
2013-11-25,77,569,0,11
2013-11-26,81,623,1,11
2013-11-27,96,627,2,11
2013-11-28,113,678,3,11
2013-11-29,77,722,4,11
2013-11-30,104,757,5,11
2013-12-01,93,613,6,12
2013-12-02,63,399,0,12
2013-12-03,57,437,1,12
2013-12-04,65,382,2,12
2013-12-05,70,440,3,12
2013-12-06,70,562,4,12
2013-12-07,73,538,5,12
2013-12-08,79,610,6,12
2013-12-09,51,383,0,12
2013-12-10,68,443,1,12
2013-12-11,85,447,2,12
2013-12-12,68,499,3,12
2013-12-13,73,492,4,12
2013-12-14,85,551,5,12
2013-12-15,94,633,6,12
2013-12-16,56,402,0,12
2013-12-17,54,425,1,12
2013-12-18,46,456,2,12
2013-12-19,71,425,3,12
2013-12-20,86,524,4,12
2013-12-21,104,563,5,12
2013-12-22,77,591,6,12
2013-12-23,50,377,0,12
2013-12-24,57,453,1,12
2013-12-25,67,474,2,12
2013-12-26,71,470,3,12
2013-12-27,65,474,4,12
2013-12-28,86,569,5,12
2013-12-29,89,582,6,12
2013-12-30,68,397,0,12
2013-12-31,55,421,1,12
2014-01-01,63,460,2,1
2014-01-02,61,521,3,1
2014-01-03,92,467,4,1
2014-01-04,85,566,5,1
2014-01-05,82,631,6,1
2014-01-06,54,415,0,1
2014-01-07,76,457,1,1
2014-01-08,57,438,2,1
2014-01-09,82,500,3,1
2014-01-10,56,506,4,1
2014-01-11,78,553,5,1
2014-01-12,90,592,6,1
2014-01-13,55,448,0,1
2014-01-14,71,434,1,1
2014-01-15,65,465,2,1
2014-01-16,61,471,3,1
2014-01-17,82,585,4,1
2014-01-18,76,544,5,1
2014-01-19,87,580,6,1
2014-01-20,63,362,0,1
2014-01-21,58,446,1,1
2014-01-22,72,454,2,1
2014-01-23,64,486,3,1
2014-01-24,79,528,4,1
2014-01-25,72,595,5,1
2014-01-26,86,567,6,1
2014-01-27,58,393,0,1
2014-01-28,62,450,1,1
2014-01-29,74,476,2,1
2014-01-30,72,534,3,1
2014-01-31,72,536,4,1
2014-02-01,92,580,5,2
2014-02-02,108,711,6,2
2014-02-03,68,465,0,2
2014-02-04,76,531,1,2
2014-02-05,79,540,2,2
2014-02-06,78,571,3,2
2014-02-07,72,549,4,2
2014-02-08,85,647,5,2
2014-02-09,104,673,6,2
2014-02-10,77,445,0,2
2014-02-11,80,497,1,2
2014-02-12,74,521,2,2
2014-02-13,71,540,3,2
2014-02-14,80,571,4,2
2014-02-15,99,648,5,2
2014-02-16,91,655,6,2
2014-02-17,66,449,0,2
2014-02-18,66,547,1,2
2014-02-19,90,525,2,2
2014-02-20,81,539,3,2
2014-02-21,90,569,4,2
2014-02-22,91,615,5,2
2014-02-23,89,635,6,2
2014-02-24,58,425,0,2
2014-02-25,95,487,1,2
2014-02-26,89,513,2,2
2014-02-27,86,526,3,2
2014-02-28,87,592,4,2
2014-03-01,111,726,5,3
2014-03-02,114,795,6,3
2014-03-03,77,535,0,3
2014-03-04,90,584,1,3
2014-03-05,95,631,2,3
2014-03-06,94,668,3,3
2014-03-07,117,649,4,3
2014-03-08,134,743,5,3
2014-03-09,117,776,6,3
2014-03-10,65,513,0,3
2014-03-11,83,579,1,3
2014-03-12,80,666,2,3
2014-03-13,99,660,3,3
2014-03-14,112,696,4,3
2014-03-15,112,783,5,3
2014-03-16,119,837,6,3
2014-03-17,85,509,0,3
2014-03-18,96,643,1,3
2014-03-19,93,602,2,3
2014-03-20,99,625,3,3
2014-03-21,95,684,4,3
2014-03-22,106,781,5,3
2014-03-23,116,842,6,3
2014-03-24,78,513,0,3
2014-03-25,87,592,1,3
2014-03-26,96,599,2,3
2014-03-27,94,690,3,3
2014-03-28,117,721,4,3
2014-03-29,100,764,5,3
2014-03-30,132,774,6,3
2014-03-31,77,527,0,3
2014-04-01,102,703,1,4
2014-04-02,89,681,2,4
2014-04-03,129,801,3,4
2014-04-04,99,817,4,4
2014-04-05,121,882,5,4
2014-04-06,135,935,6,4
2014-04-07,91,626,0,4
2014-04-08,106,765,1,4
2014-04-09,112,714,2,4
2014-04-10,119,709,3,4
2014-04-11,104,822,4,4
2014-04-12,140,888,5,4
2014-04-13,128,920,6,4
2014-04-14,101,630,0,4
2014-04-15,103,768,1,4
2014-04-16,95,730,2,4
2014-04-17,121,730,3,4
2014-04-18,127,864,4,4
2014-04-19,134,875,5,4
2014-04-20,131,896,6,4
2014-04-21,99,643,0,4
2014-04-22,95,726,1,4
2014-04-23,108,709,2,4
2014-04-24,122,807,3,4
2014-04-25,113,831,4,4
2014-04-26,107,903,5,4
2014-04-27,123,889,6,4
2014-04-28,84,640,0,4
2014-04-29,88,705,1,4
2014-04-30,90,728,2,4
2014-05-01,115,833,3,5
2014-05-02,154,862,4,5
2014-05-03,150,887,5,5
2014-05-04,142,1001,6,5
2014-05-05,100,687,0,5
2014-05-06,113,757,1,5
2014-05-07,109,745,2,5
2014-05-08,145,792,3,5
2014-05-09,109,846,4,5
2014-05-10,148,937,5,5
2014-05-11,148,1000,6,5
2014-05-12,113,656,0,5
2014-05-13,119,859,1,5
2014-05-14,100,812,2,5
2014-05-15,114,833,3,5
2014-05-16,124,895,4,5
2014-05-17,138,932,5,5
2014-05-18,160,973,6,5
2014-05-19,103,653,0,5
2014-05-20,108,789,1,5
2014-05-21,127,785,2,5
2014-05-22,131,842,3,5
2014-05-23,100,856,4,5
2014-05-24,151,936,5,5
2014-05-25,131,969,6,5
2014-05-26,120,672,0,5
2014-05-27,110,815,1,5
2014-05-28,134,717,2,5
2014-05-29,121,782,3,5
2014-05-30,113,871,4,5
2014-05-31,128,926,5,5
2014-06-01,152,1113,6,6
2014-06-02,121,740,0,6
2014-06-03,118,813,1,6
2014-06-04,118,821,2,6
2014-06-05,126,871,3,6
2014-06-06,157,892,4,6
2014-06-07,129,951,5,6
2014-06-08,159,1024,6,6
2014-06-09,89,690,0,6
2014-06-10,137,824,1,6
2014-06-11,127,802,2,6
2014-06-12,141,882,3,6
2014-06-13,119,943,4,6
2014-06-14,146,1006,5,6
2014-06-15,156,1043,6,6
2014-06-16,123,698,0,6
2014-06-17,138,774,1,6
2014-06-18,121,794,2,6
2014-06-19,129,871,3,6
2014-06-20,115,936,4,6
2014-06-21,147,1013,5,6
2014-06-22,133,1035,6,6
2014-06-23,118,736,0,6
2014-06-24,130,829,1,6
2014-06-25,114,841,2,6
2014-06-26,136,864,3,6
2014-06-27,149,945,4,6
2014-06-28,156,971,5,6
2014-06-29,164,1054,6,6
2014-06-30,107,666,0,6
2014-07-01,127,914,1,7
2014-07-02,131,853,2,7
2014-07-03,125,974,3,7
2014-07-04,125,976,4,7
2014-07-05,169,1082,5,7
2014-07-06,166,1110,6,7
2014-07-07,116,743,0,7
2014-07-08,124,863,1,7
2014-07-09,124,849,2,7
2014-07-10,152,961,3,7
2014-07-11,151,971,4,7
2014-07-12,133,1067,5,7
2014-07-13,181,1085,6,7
2014-07-14,104,717,0,7
2014-07-15,117,829,1,7
2014-07-16,108,925,2,7
2014-07-17,147,931,3,7
2014-07-18,149,1006,4,7
2014-07-19,153,1017,5,7
2014-07-20,156,1061,6,7
2014-07-21,109,720,0,7
2014-07-22,129,868,1,7
2014-07-23,136,850,2,7
2014-07-24,138,992,3,7
2014-07-25,144,981,4,7
2014-07-26,163,1112,5,7
2014-07-27,172,1144,6,7
2014-07-28,103,759,0,7
2014-07-29,120,881,1,7
2014-07-30,128,898,2,7
2014-07-31,142,943,3,7
2014-08-01,153,829,4,8
2014-08-02,158,989,5,8
2014-08-03,140,987,6,8
2014-08-04,119,638,0,8
2014-08-05,127,764,1,8
2014-08-06,117,766,2,8
2014-08-07,95,773,3,8
2014-08-08,121,898,4,8
2014-08-09,129,976,5,8
2014-08-10,151,972,6,8
2014-08-11,87,629,0,8
2014-08-12,112,803,1,8
2014-08-13,103,747,2,8
2014-08-14,121,898,3,8
2014-08-15,127,878,4,8
2014-08-16,132,936,5,8
2014-08-17,144,962,6,8
2014-08-18,116,663,0,8
2014-08-19,111,762,1,8
2014-08-20,90,790,2,8
2014-08-21,126,838,3,8
2014-08-22,136,877,4,8
2014-08-23,141,901,5,8
2014-08-24,151,1019,6,8
2014-08-25,108,670,0,8
2014-08-26,133,778,1,8
2014-08-27,113,786,2,8
2014-08-28,136,827,3,8
2014-08-29,117,863,4,8
2014-08-30,132,927,5,8
2014-08-31,142,1019,6,8
2014-09-01,85,595,0,9
2014-09-02,112,736,1,9
2014-09-03,115,748,2,9
2014-09-04,137,801,3,9
2014-09-05,134,828,4,9
2014-09-06,118,847,5,9
2014-09-07,153,903,6,9
2014-09-08,83,621,0,9
2014-09-09,95,758,1,9
2014-09-10,94,685,2,9
2014-09-11,116,751,3,9
2014-09-12,143,848,4,9
2014-09-13,136,859,5,9
2014-09-14,133,898,6,9
2014-09-15,80,615,0,9
2014-09-16,83,722,1,9
2014-09-17,90,759,2,9
2014-09-18,114,815,3,9
2014-09-19,109,838,4,9
2014-09-20,130,885,5,9
2014-09-21,142,943,6,9
2014-09-22,83,651,0,9
2014-09-23,113,715,1,9
2014-09-24,107,757,2,9
2014-09-25,117,763,3,9
2014-09-26,118,802,4,9
2014-09-27,123,934,5,9
2014-09-28,138,875,6,9
2014-09-29,112,618,0,9
2014-09-30,100,698,1,9
2014-10-01,84,646,2,10
2014-10-02,102,714,3,10
2014-10-03,105,775,4,10
2014-10-04,132,812,5,10
2014-10-05,123,825,6,10
2014-10-06,82,586,0,10
2014-10-07,90,663,1,10
2014-10-08,102,670,2,10
2014-10-09,95,715,3,10
2014-10-10,120,721,4,10
2014-10-11,99,833,5,10
2014-10-12,126,876,6,10
2014-10-13,78,567,0,10
2014-10-14,105,694,1,10
2014-10-15,98,638,2,10
2014-10-16,97,689,3,10
2014-10-17,91,765,4,10
2014-10-18,119,876,5,10
2014-10-19,110,840,6,10
2014-10-20,67,585,0,10
2014-10-21,81,639,1,10
2014-10-22,99,681,2,10
2014-10-23,103,729,3,10
2014-10-24,110,782,4,10
2014-10-25,112,793,5,10
2014-10-26,140,902,6,10
2014-10-27,91,575,0,10
2014-10-28,104,646,1,10
2014-10-29,100,686,2,10
2014-10-30,109,685,3,10
2014-10-31,116,749,4,10
2014-11-01,140,849,5,11
2014-11-02,121,898,6,11
2014-11-03,84,642,0,11
2014-11-04,94,737,1,11
2014-11-05,91,702,2,11
2014-11-06,105,799,3,11
2014-11-07,95,862,4,11
2014-11-08,123,870,5,11
2014-11-09,143,888,6,11
2014-11-10,89,580,0,11
2014-11-11,106,718,1,11
2014-11-12,88,673,2,11
2014-11-13,110,821,3,11
2014-11-14,124,826,4,11
2014-11-15,144,914,5,11
2014-11-16,156,907,6,11
2014-11-17,112,605,0,11
2014-11-18,92,731,1,11
2014-11-19,108,737,2,11
2014-11-20,113,773,3,11
2014-11-21,137,797,4,11
2014-11-22,124,827,5,11
2014-11-23,153,912,6,11
2014-11-24,96,568,0,11
2014-11-25,98,712,1,11
2014-11-26,96,699,2,11
2014-11-27,99,723,3,11
2014-11-28,117,808,4,11
2014-11-29,141,878,5,11
2014-11-30,141,977,6,11
2014-12-01,62,446,0,12
2014-12-02,70,476,1,12
2014-12-03,67,531,2,12
2014-12-04,82,555,3,12
2014-12-05,90,584,4,12
2014-12-06,87,625,5,12
2014-12-07,100,684,6,12
2014-12-08,60,406,0,12
2014-12-09,62,529,1,12
2014-12-10,69,562,2,12
2014-12-11,81,529,3,12
2014-12-12,78,570,4,12
2014-12-13,80,612,5,12
2014-12-14,92,620,6,12
2014-12-15,66,453,0,12
2014-12-16,80,496,1,12
2014-12-17,90,499,2,12
2014-12-18,74,590,3,12
2014-12-19,92,534,4,12
2014-12-20,91,630,5,12
2014-12-21,103,652,6,12
2014-12-22,76,439,0,12
2014-12-23,77,499,1,12
2014-12-24,95,523,2,12
2014-12-25,72,526,3,12
2014-12-26,93,606,4,12
2014-12-27,75,591,5,12
2014-12-28,86,709,6,12
2014-12-29,57,455,0,12
2014-12-30,66,487,1,12
2014-12-31,81,530,2,12
2015-01-01,67,510,3,1
2015-01-02,73,580,4,1
2015-01-03,81,580,5,1
2015-01-04,75,640,6,1
2015-01-05,55,458,0,1
2015-01-06,69,491,1,1
2015-01-07,68,503,2,1
2015-01-08,91,499,3,1
2015-01-09,90,558,4,1
2015-01-10,98,567,5,1
2015-01-11,81,648,6,1
2015-01-12,56,429,0,1
2015-01-13,78,534,1,1
2015-01-14,79,490,2,1
2015-01-15,82,520,3,1
2015-01-16,86,567,4,1
2015-01-17,86,625,5,1
2015-01-18,110,587,6,1
2015-01-19,63,409,0,1
2015-01-20,67,515,1,1
2015-01-21,77,448,2,1
2015-01-22,81,513,3,1
2015-01-23,76,533,4,1
2015-01-24,76,608,5,1
2015-01-25,91,581,6,1
2015-01-26,51,419,0,1
2015-01-27,61,500,1,1
2015-01-28,75,493,2,1
2015-01-29,71,523,3,1
2015-01-30,74,554,4,1
2015-01-31,89,591,5,1
2015-02-01,108,690,6,2
2015-02-02,78,474,0,2
2015-02-03,80,500,1,2
2015-02-04,78,511,2,2
2015-02-05,68,567,3,2
2015-02-06,98,619,4,2
2015-02-07,96,623,5,2
2015-02-08,113,632,6,2
2015-02-09,56,467,0,2
2015-02-10,83,548,1,2
2015-02-11,99,510,2,2
2015-02-12,87,565,3,2
2015-02-13,96,609,4,2
2015-02-14,110,624,5,2
2015-02-15,99,678,6,2
2015-02-16,67,463,0,2
2015-02-17,78,579,1,2
2015-02-18,79,575,2,2
2015-02-19,92,526,3,2
2015-02-20,94,548,4,2
2015-02-21,92,654,5,2
2015-02-22,101,677,6,2
2015-02-23,49,442,0,2
2015-02-24,77,531,1,2
2015-02-25,86,506,2,2
2015-02-26,101,546,3,2
2015-02-27,85,603,4,2
2015-02-28,102,617,5,2
2015-03-01,133,848,6,3
2015-03-02,79,544,0,3
2015-03-03,95,651,1,3
2015-03-04,94,704,2,3
2015-03-05,104,727,3,3
2015-03-06,119,747,4,3
2015-03-07,97,829,5,3
2015-03-08,112,853,6,3
2015-03-09,59,561,0,3
2015-03-10,110,674,1,3
2015-03-11,96,666,2,3
2015-03-12,95,658,3,3
2015-03-13,112,707,4,3
2015-03-14,103,779,5,3
2015-03-15,145,824,6,3
2015-03-16,88,577,0,3
2015-03-17,96,607,1,3
2015-03-18,96,630,2,3
2015-03-19,119,702,3,3
2015-03-20,125,823,4,3
2015-03-21,111,751,5,3
2015-03-22,113,791,6,3
2015-03-23,89,517,0,3
2015-03-24,117,658,1,3
2015-03-25,100,638,2,3
2015-03-26,91,709,3,3
2015-03-27,104,813,4,3
2015-03-28,115,762,5,3
2015-03-29,126,870,6,3
2015-03-30,96,562,0,3
2015-03-31,97,614,1,3
2015-04-01,132,792,2,4
2015-04-02,113,807,3,4
2015-04-03,141,841,4,4
2015-04-04,128,897,5,4
2015-04-05,145,956,6,4
2015-04-06,93,638,0,4
2015-04-07,104,732,1,4
2015-04-08,105,685,2,4
2015-04-09,109,748,3,4
2015-04-10,136,839,4,4
2015-04-11,129,905,5,4
2015-04-12,116,924,6,4
2015-04-13,88,614,0,4
2015-04-14,110,737,1,4
2015-04-15,116,777,2,4
2015-04-16,120,822,3,4
2015-04-17,119,853,4,4
2015-04-18,128,913,5,4
2015-04-19,151,994,6,4
2015-04-20,100,636,0,4
2015-04-21,95,751,1,4
2015-04-22,103,693,2,4
2015-04-23,117,800,3,4
2015-04-24,129,873,4,4
2015-04-25,133,957,5,4
2015-04-26,164,928,6,4
2015-04-27,78,676,0,4
2015-04-28,103,747,1,4
2015-04-29,96,764,2,4
2015-04-30,115,826,3,4
2015-05-01,141,882,4,5
2015-05-02,158,985,5,5
2015-05-03,156,1018,6,5
2015-05-04,79,685,0,5
2015-05-05,116,827,1,5
2015-05-06,133,851,2,5
2015-05-07,127,856,3,5
2015-05-08,134,945,4,5
2015-05-09,145,938,5,5
2015-05-10,132,1044,6,5
2015-05-11,86,730,0,5
2015-05-12,105,835,1,5
2015-05-13,128,818,2,5
2015-05-14,129,869,3,5
2015-05-15,161,916,4,5
2015-05-16,151,1007,5,5
2015-05-17,158,1039,6,5
2015-05-18,98,660,0,5
2015-05-19,111,844,1,5
2015-05-20,99,817,2,5
2015-05-21,125,906,3,5
2015-05-22,135,943,4,5
2015-05-23,142,1041,5,5
2015-05-24,150,1047,6,5
2015-05-25,99,626,0,5
2015-05-26,100,741,1,5
2015-05-27,120,830,2,5
2015-05-28,110,887,3,5
2015-05-29,121,878,4,5
2015-05-30,138,1056,5,5
2015-05-31,161,1037,6,5
2015-06-01,121,691,0,6
2015-06-02,107,931,1,6
2015-06-03,137,838,2,6
2015-06-04,160,941,3,6
2015-06-05,139,990,4,6
2015-06-06,183,1024,5,6
2015-06-07,171,1133,6,6
2015-06-08,107,704,0,6
2015-06-09,136,841,1,6
2015-06-10,131,822,2,6
2015-06-11,160,910,3,6
2015-06-12,113,989,4,6
2015-06-13,143,1033,5,6
2015-06-14,154,1118,6,6
2015-06-15,104,711,0,6
2015-06-16,89,855,1,6
2015-06-17,133,802,2,6
2015-06-18,130,931,3,6
2015-06-19,141,965,4,6
2015-06-20,169,1002,5,6
2015-06-21,155,1088,6,6
2015-06-22,107,753,0,6
2015-06-23,122,858,1,6
2015-06-24,135,849,2,6
2015-06-25,154,919,3,6
2015-06-26,147,1014,4,6
2015-06-27,135,1075,5,6
2015-06-28,131,1098,6,6
2015-06-29,106,792,0,6
2015-06-30,127,841,1,6
2015-07-01,139,900,2,7
2015-07-02,147,980,3,7
2015-07-03,155,1070,4,7
2015-07-04,176,1088,5,7
2015-07-05,196,1115,6,7
2015-07-06,113,772,0,7
2015-07-07,143,885,1,7
2015-07-08,133,889,2,7
2015-07-09,157,997,3,7
2015-07-10,159,1000,4,7
2015-07-11,194,1095,5,7
2015-07-12,152,1204,6,7
2015-07-13,128,797,0,7
2015-07-14,123,919,1,7
2015-07-15,115,891,2,7
2015-07-16,148,961,3,7
2015-07-17,152,1047,4,7
